id,Row,Range,Row_Range
24,6,2,6_2
41,5,3,5_3
44,8,3,8_3
91,1,6,1_6
96,6,6,6_6
109,1,7,1_7
134,8,8,8_8
165,3,10,3_10
168,6,10,6_10
169,7,10,7_10
220,4,13,4_13
237,3,14,3_14
256,4,15,4_15
273,3,16,3_16
315,9,18,9_18
366,6,21,6_21
368,8,21,8_21
398,2,23,2_23
420,6,24,6_24
436,4,25,4_25
440,8,25,8_25
459,9,26,9_26
495,9,28,9_28
526,4,30,4_30
528,6,30,6_30
546,6,31,6_31
567,9,32,9_32
602,8,34,8_34
649,1,37,1_37
672,6,38,6_38
707,5,40,5_40
740,2,42,2_42
746,8,42,8_42
781,7,44,7_44
793,1,45,1_45
832,4,47,4_47
837,9,47,9_47
872,8,49,8_49
921,3,52,3_52
977,5,55,5_55
979,7,55,7_55
993,3,56,3_56
1052,8,59,8_59
1069,7,60,7_60
1140,6,64,6_64
1178,8,66,8_66
1194,6,67,6_67
1210,4,68,4_68
1243,1,70,1_70
1251,9,70,9_70
1265,5,71,5_71
1279,1,72,1_72
1318,4,74,4_74
1372,4,77,4_77
1447,7,81,7_81
1448,8,81,8_81
1467,9,82,9_82
1483,7,83,7_83
1515,3,85,3_85
1533,3,86,3_86
1537,7,86,7_86
1538,8,86,8_86
1553,5,87,5_87
1587,3,89,3_89
1588,4,89,4_89
1591,7,89,7_89
1609,7,90,7_90
1622,2,91,2_91
1627,7,91,7_91
1659,3,93,3_93
1665,9,93,9_93
1682,8,94,8_94
1693,1,95,1_95
1729,1,97,1_97
1790,8,100,8_100
